Gene Name	Left-End-Position	Right-End-Position	Product
sodB	1735378	1735959	superoxide dismutase (Fe)
bglF	3903720	3905597	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase
ycjS	1376832	1377887	D-glucoside 3-dehydrogenase
ynaE	1433991	1434224	Rac prophage; uncharacterized protein YnaE
yjjI	4615515	4617065	DUF3029 domain-containing protein YjjI
frsA	256527	257771	fermentation-respiration switch protein
hyfE	2606262	2606912	hydrogenase 4 component E
insD7	1650881	1651537	Qin prophage; putative transposase
rpmC	3448568	3448759	50S ribosomal subunit protein L29
ppx	2625115	2626656	exopolyphosphatase
fhuA	167484	169727	ferrichrome outer membrane transporter/phage receptor
gltL	684530	685255	glutamate/aspartate ABC transporter ATP binding subunit
ygiL	3185414	3185965	putative fimbrial protein YgiL
yieE	3893881	3894630	putative phosphopantetheinyl transferase
rcnB	2186960	2187298	periplasmic protein involved in nickel/cobalt export
yfcG	2420621	2421268	disulfide bond oxidoreductase YfcG
yjjY	4640402	4640542	uncharacterized protein YjjY
yhdZ	3422436	3423194	putative ABC transporter ATP-binding subunit YhdZ
rhaT	4099491	4100525	rhamnose/lyxose:H<sup>+</sup> symporter
nudF	3177281	3177910	ADP-sugar pyrophosphatase
gfcB	1048688	1049332	lipoprotein GfcB
glnU	696865	696939	tRNA-Gln(UUG)
waaB	3803058	3804137	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase
intR	1412000	1413235	Rac prophage; putative integrase
ymgA	1216068	1216340	putative two-component system connector protein YmgA
nuoJ	2395342	2395896	NADH:quinone oxidoreductase subunit J
afuB	278814	279162	CP4-6 prophage; ABC transporter membrane protein AfuB
rimM	2745370	2745918	ribosome maturation factor RimM
insAB6	3583483	3584180	InsAB' transposase
phnP	4314344	4315102	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase
ybbC	527581	527949	PF15631 family protein YbbC
gltS	3827460	3828665	glutamate:sodium symporter
paoA	301884	302573	aldehyde dehydrogenase, Fe-S subunit
ybfD	738092	738853	H repeat-associated putative transposase YbfD
ribC	1742601	1743242	riboflavin synthase
bglJ	4604160	4604837	DNA-binding transcriptional regulator BglJ
panB	148807	149601	3-methyl-2-oxobutanoate hydroxymethyltransferase
ybiT	855963	857555	putative ATP-binding protein YbiT
ymfD	1196867	1197532	e14 prophage; putative SAM-dependent methyltransferase YmfD
yedF	2009479	2009712	putative sulfurtransferase YedF
lldD	3779827	3781017	L-lactate dehydrogenase
yjhY	4532050	4532310	
rplX	3447453	3447767	50S ribosomal subunit protein L24
yidC	3885076	3886722	membrane protein insertase YidC
phnL	4317215	4317895	methylphosphonate degradation complex subunit PhnL
cirA	2244778	2246769	iron-catecholate outer membrane transporter CirA
gltB	3354725	3359185	glutamate synthase subunit GltB
fimD	4545096	4547732	type I fimbriae usher protein
yjeJ	4373365	4374234	protein YjeJ
kefC	47769	49631	K<sup>+</sup> : H<sup>+</sup> antiporter KefC
priB	4425520	4425834	primosomal replication protein N
ppiD	461915	463786	periplasmic folding chaperone
G0-10700	2278258	2278498	
yzcX	3993850	3994335	protein YzcX
dkgA	3156623	3157450	methylglyoxal reductase DkgA
yphE	2676850	2678361	putative ABC transporter ATP-binding protein YphE
tesB	474301	475161	acyl-CoA thioesterase II
ybbO	518340	519149	NADP<sup>+</sup>-dependent aldehyde reductase YbbO
argV	2818473	2818549	tRNA-Arg(ACG)
ybjM	890089	890466	putative inner membrane protein
rffC	3974467	3975141	RffC
ybcM	571454	572251	DLP12 prophage; putative DNA-binding transcriptional regulator
purB	1190616	1191986	adenylosuccinate lyase
metK	3086706	3087860	methionine adenosyltransferase
hybG	3139716	3139964	hydrogenase maturation factor HybG
pawZ	2476584	2476598	
rplE	3446899	3447438	50S ribosomal subunit protein L5
insH11	3652182	3653162	IS<i>5</i> transposase and trans-activator
phnI	4319599	4320663	carbon-phosphorus lyase core complex subunit PhnI
yfbL	2385860	2386831	putative peptidase YfbL
gltI	686839	687747	glutamate/aspartate ABC transporter periplasmic binding protein
hxpB	1809380	1810048	hexitol phosphatase B
lolB	1262877	1263500	outer membrane lipoprotein LolB
ribD	433455	434558	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase
ydjH	1855981	1856928	L-<i>glycero</i>-L-galacto-octuluronate kinase
yaeQ	214291	214836	uncharacterized protein YaeQ
ykfC	272847	273992	CP4-6 prophage; PF00078 domain-containing protein YkfC
ypfG	2581734	2582777	DUF1176 domain-containing protein YpfG
purM	2621197	2622234	phosphoribosylformylglycinamide cyclo-ligase
hyfB	2601818	2603836	hydrogenase 4 component B
intB	4496750	4497940	KpLE2 phage-like element; putative integrase
rpsU	3210781	3210996	30S ribosomal subunit protein S21
ppa	4449122	4449652	inorganic pyrophosphatase
cbrC	3898022	3898609	PF03691 family colicin E2 tolerance protein CbrC
asnC	3926545	3927003	DNA-binding transcriptional dual regulator AsnC
yfcR	2451072	2451584	putative fimbrial protein YfcR
tynA	1449076	1451349	copper-containing amine oxidase
yhdT	3407375	3407617	DUF997 domain-containing protein YhdT
yjjX	4633233	4633745	inosine/xanthosine triphosphatase
soxR	4277469	4277933	DNA-binding transcriptional dual regulator SoxR
yibT	3776171	3776380	protein YibT
cspG	1051461	1051673	cold shock protein CspG
dhaK	1249768	1250838	dihydroxyacetone kinase subunit K
nudE	3525589	3526149	ADP-sugar diphosphatase NudE
flgO	1140986	1141063	small RNA FlgO
rybA	852725	853064	small RNA RybA
wecH	3725887	3726882	<i>O</i>-acetyltransferase WecH
ycfK	1207501	1208130	e14 prophage; protein StfP
ykgF	322338	323765	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
purH	4205943	4207532	bifunctional AICAR transformylase/IMP cyclohydrolase
hypE	2853254	2854264	HypE-S-carboxamide // carbamoyl dehydratase HypE
yqfE	3059381	3059611	putative protein YqfE
rpsE	3444726	3445229	30S ribosomal subunit protein S5
ppk	2623044	2625110	polyphosphate kinase
insH6	2066305	2067285	CP4-44 prophage; IS<i>5</i> transposase and trans-activator
recF	3880148	3881221	recombination mediator protein RecF
mbiA	10830	11315	uncharacterized protein MbiA
aspA	4366891	4368327	aspartate ammonia-lyase
ribB	3183813	3184466	3,4-dihydroxy-2-butanone-4-phosphate synthase
yggC	3073976	3074689	P-loop NTPase domain-containing protein YggC
cynX	359992	361146	cyanate transporter
srlB	2827362	2827733	sorbitol-specific PTS enzyme IIA component
raiZ	2737381	2737542	small RNA RaiZ
panF	3407607	3409058	pantothenate:Na+ symporter
yfjR	2769703	2770404	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR
ynjH	1841863	1842135	DUF1496 domain-containing protein YnjH
purD	4204642	4205931	phosphoribosylamine--glycine ligase
frdC	4379377	4379772	fumarate reductase membrane protein FrdC
yncI	1530586	1531639	putative transposase YncI
rplB	3450543	3451364	50S ribosomal subunit protein L2
lptF	4486218	4487318	lipopolysaccharide transport system protein LptF
gstA	1714377	1714982	glutathione <i>S</i>-transferase GstA
phoA	401747	403162	alkaline phosphatase
tolQ	775153	775845	Tol-Pal system protein TolQ
asnA	3927155	3928147	asparagine synthetase A
yadM	152243	152812	putative fimbrial protein YadM
gcvR	2599906	2600478	putative transcriptional regulator GcvR
yqhH	3158627	3158884	lipoprotein YqhH
dnaB	4264314	4265729	replicative DNA helicase
msrP	2039478	2040482	protein-L-methionine sulfoxide reductase catalytic subunit MsrP
b2653	2785800	2785973	
yraQ	3297098	3298138	permease family protein YraQ
ybeD	662379	662642	DUF493 domain-containing protein YbeD
uxuR	4554576	4555349	DNA-binding transcriptional repressor UxuR
paaI	1460471	1460893	phenylacetyl-CoA thioesterase
3'ETS-<i>leuZ</i>	1991748	1991814	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>
thpR	161501	162031	RNA 2',3'-cyclic phosphodiesterase
waaO	3802039	3803058	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase
yffN	2561625	2561993	CPZ-55 prophage; uncharacterized protein YffN
yncL	1517099	1517194	uncharacterized protein YncL
guaB	2632604	2634070	inosine 5'-monophosphate dehydrogenase
torY	1957032	1958132	cytochrome <i>c</i> quinol dehydrogenase TorY
lfhA	248358	250070	flagellar system protein, promoterless fragment
rpsR	4425839	4426066	30S ribosomal subunit protein S18
rayT	247637	248134	REP-associated tyrosine transposase
phnM	4316082	4317218	RPnTP hydrolase
ruvB	1944346	1945356	Holliday junction branch migration complex subunit RuvB
yebW	1922121	1922312	DUF1482 domain-containing protein YebW
ansP	1524481	1525980	L-asparagine transporter
arsC	3650237	3650662	arsenate reductase
mraZ	89634	90092	DNA-binding transcriptional repressor MraZ
ybjI	885316	886131	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
pfkA	4107552	4108514	6-phosphofructokinase 1
ymjD	1390868	1390933	uncharacterized protein YmjD
intS	2466545	2467702	CPS-53 (KpLE1) prophage; prophage CPS-53 integrase
ymgG	1222644	1222988	PF13436 family protein YmgG
purT	1930881	1932059	phosphoribosylglycinamide formyltransferase 2
nuoG	2397439	2400165	NADH:quinone oxidoreductase subunit G
yibU	3769948	3770146	
rpsB	189874	190599	30S ribosomal subunit protein S2
glcD	3126522	3128021	glycolate dehydrogenase, putative FAD-linked subunit
phnJ	4318761	4319606	carbon-phosphorus lyase core complex subunit PhnJ
cvpA	2430275	2430763	colicin V production protein
edd	1932793	1934604	phosphogluconate dehydratase
fimA	4543115	4543663	type 1 fimbriae major subunit
glyA	2684254	2685507	serine hydroxymethyltransferase
queE	2904747	2905418	putative 7-carboxy-7-deazaguanine synthase QueE
tpx	1388305	1388811	lipid hydroperoxide peroxidase
cydH	1737456	1737545	cytochrome <i>bd</i>-I accessory subunit CydH
yabP	58474	59124	putative uncharacterized protein YabP
garD	3275282	3276853	GarD
cspI	1638455	1638667	Qin prophage; cold shock-like protein CspI
yiaY	3756676	3757827	L-threonine dehydrogenase
ybaN	490882	491259	DUF454 domain-containing inner membrane protein YbaN
rydB	1764713	1764780	small regulatory RNA RydB
paoD	297770	298726	molybdenum cofactor insertion chaperone PaoD
ydfT	1642489	1643241	Qin prophage; putative antitermination protein Q
yqhJ	3111266	3111325	protein YqhJ
purN	2622234	2622872	phosphoribosylglycinamide formyltransferase 1
nrfE	4291512	4293170	putative cytochrome c-type biogenesis protein NrfE
ykfK	266776	266967	
rplQ	3439616	3439999	50S ribosomal subunit protein L17
phnG	4321244	4321696	carbon-phosphorus lyase core complex subunit PhnG
glcF	3124236	3125459	glycolate dehydrogenase, putative iron-sulfur subunit
insAB2	279178	279875	InsAB' transposase
recR	494405	495010	recombination mediator protein RecR
yaiA	406979	407170	protein YaiA
mhpF	372921	373871	acetaldehyde dehydrogenase (acetylating) MhpF
ahpC	638945	639508	alkyl hydroperoxide reductase, AhpC component
ypfJ	2595874	2596737	uncharacterized protein YpfJ
ribE	434647	435117	6,7-dimethyl-8-ribityllumazine synthase
malX	1699355	1700947	PTS enzyme IIBC component MalX
yajO	437161	438135	1-deoxyxylulose-5-phosphate synthase YajO
rpnE	2356904	2357803	inactive recombination-promoting nuclease-like protein RpnE
stfR	1429049	1432411	Rac prophage; putative prophage side tail fiber protein StfR
yaaX	5234	5530	DUF2502 domain-containing protein YaaX
purK	551527	552594	5-(carboxyamino)imidazole ribonucleotide synthase
hybC	3141286	3142989	hydrogenase 2 large subunit
lolA	937372	937983	outer membrane lipoprotein carrier protein
mdtQ	2227323	2228758	putative multidrug resistance outer membrane protein MdtQ
hflX	4400672	4401952	ribosome rescue factor HflX
yqhD	3155355	3156518	NADPH-dependent aldehyde reductase YqhD
glcE	3125470	3126522	glycolate dehydrogenase, putative FAD-binding subunit
ssuC	994041	994832	aliphatic sulfonate ABC transporter membrane subunit
iaaA	866568	867533	&beta; cleavage product of IaaA // &alpha; cleavage product of IaaA // isoaspartyl dipeptidase proenzyme
idnO	4492587	4493351	5-keto-D-gluconate 5-reductase
ydeS	1588309	1588839	putative fimbrial protein YdeS
ugpQ	3587370	3588113	glycerophosphodiester phosphodiesterase UgpQ
yfaY	2362431	2363633	IPR008135 CinA family protein YfaY
mioC	3926012	3926455	flavoprotein MioC
ibpB	3866469	3866897	small heat shock protein IbpB
b0538	565972	566532	
yqgC	3086187	3086402	protein YqgC
xylG	3732201	3733742	xylose ABC transporter ATP binding subunit
lepA	2705325	2707124	30S ribosomal subunit biogenesis factor LepA
agaI	3286270	3287025	putative deaminase AgaI
ydcF	1487235	1488035	DUF218 domain-containing protein YdcF
arcZ	3350577	3350697	small regulatory RNA ArcZ
fklB	4428935	4429555	peptidyl-prolyl <i>cis-trans</i> isomerase FklB
ymfQ	1206913	1207497	e14 prophage; DUF2313 domain-containing protein YmfQ
ybiE	837503	837562	protein YbiE
purE	552591	553100	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
fdnG	1547401	1550448	formate dehydrogenase N subunit &alpha;
ygeK	2994460	2994903	putative DNA-binding transcriptional regulator YgeK
yggL	3101807	3102133	putative ribosome assembly factor YggL
insH10	3365702	3366682	IS<i>5</i> transposase and trans-activator
recN	2751795	2753456	DNA repair protein RecN
znuB	1943414	1944199	Zn<sup>2+</sup> ABC transporter membrane subunit
ydhV	1751728	1753830	putative oxidoreductase YdhV
gudD	2918045	2919385	<i>D</i>-glucarate dehydratase
ribF	21407	22348	bifunctional riboflavin kinase / FMN adenylyltransferase
yoaB	1893367	1893711	RutC family protein YoaB
glpK	4115714	4117222	glycerol kinase
glgX	3569346	3571319	limit dextrin alpha-1,6-glucohydrolase
yjcB	4274760	4275041	uncharacterized protein YjcB
tfaD	581534	582097	DLP12 prophage; putative tail fiber assembly protein TfaD
yehM	2205695	2207974	uncharacterized protein YehM
purA	4404687	4405985	adenylosuccinate synthetase
hypA	2850647	2850997	hydrogenase 3 nickel incorporation protein HypA
insZ	1294426	1295322	putative transposase InsZ
rpsO	3311415	3311684	30S ribosomal subunit protein S15
yphD	2675827	2676825	putative ABC transporter membrane subunit YphD
ygaP	2797520	2798044	thiosulfate sulfurtransferase YgaP
paaJ	1460893	1462098	&beta;-ketoadipyl-CoA thiolase
ppdA	2963707	2964177	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA
tdcR	3267380	3267598	DNA-binding transcriptional activator TdcR
ydhQ	1744871	1746127	putative adhesin-related protein YdhQ
gldA	4137932	4139035	L-1,2-propanediol dehydrogenase / glycerol dehydrogenase
yhcN	3385538	3385801	DUF1471 domain-containing stress-induced protein YhcN
bcsF	3698026	3698217	putative cellulose biosynthesis protein BcsF
hslR	3529348	3529749	heat shock protein Hsp15
alsK	4306870	4307799	D-allose kinase
ycjM	1370216	1371895	glucosylglycerate phosphorylase
ybfE	711605	711898	ribbon-helix-helix domain-containing protein YbfE
sroH	4190327	4190487	small RNA SroH
ycdY	1099640	1100194	chaperone protein YcdY
intF	295696	297096	CP4-6 prophage; putative phage integrase
ynaM	1434293	1434406	Rac prophage; protein YnaM
purL	2691656	2695543	phosphoribosylformylglycinamide synthetase
fnr	1398774	1399526	DNA-binding transcriptional dual regulator FNR
oweE	1204170	1204403	phage replication protein
rpmG	3811250	3811417	50S ribosomal subunit protein L33
insI2	1469358	1470509	IS30 transposase
xerD	3038847	3039743	site-specific recombinase
ybhR	825002	826108	ABC exporter membrane subunit YbhR
yncJ	1508834	1509064	DUF2554 domain-containing protein YncJ
uxuA	4551636	4552820	D-mannonate dehydratase
ribA	1338570	1339160	GTP cyclohydrolase 2
ydcZ	1517882	1518331	putative inner membrane protein YdcZ
glpQ	2349935	2351011	glycerophosphoryl diester phosphodiesterase GlpQ
fbaA	3070165	3071244	fructose-bisphosphate aldolase class II
mrp	2193059	2194168	P-loop NTPase family protein Mrp
yabI	71351	72115	DedA family protein YabI
perR	269289	270182	CP4-6 prophage; putative transcriptional regulator PerR
yafD	231122	231922	endonuclease/exonuclease/phosphatase domain-containing protein YafD
purF	2428721	2430238	amidophosphoribosyltransferase
torT	1056261	1057289	TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein
ysaD	3750918	3751109	
rplN	3447778	3448149	50S ribosomal subunit protein L14
aaeB	3386221	3388188	aromatic carboxylic acid efflux pump subunit AaeB
zraP	4201263	4201688	signaling pathway modulator ZraP
ugpA	3590024	3590911	<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA
mhpE	373868	374881	4-hydroxy-2-oxovalerate aldolase
gpsA	3782642	3783661	glycerol-3-phosphate dehydrogenase
ycbV	1003439	1003954	putative fimbrial protein YcbV
dppA	3706098	3707705	dipeptide ABC transporter periplasmic binding protein
pdeG	1217328	1218851	putative c-di-GMP phosphodiesterase PdeG
polA	4046966	4049752	DNA polymerase I
rsxE	1710828	1711523	SoxR [2Fe-2S] reducing system protein RsxE
isrB	1987839	1987998	
ygcE	2901896	2903374	putative sugar kinase YgcE
galM	787797	788837	galactose-1-epimerase
miaA	4399252	4400202	tRNA dimethylallyltransferase
fsaB	4139046	4139708	fructose-6-phosphate aldolase 2
yjfK	4411302	4411961	DUF2491 domain-containing protein YjfK
sraB	1146589	1146757	small RNA SraB
ycbF	1003947	1004657	putative fimbrial chaperone YcbF
ykfB	265620	266087	CP4-6 prophage; protein YkfB
yacM	113244	113288	protein YacM
purC	2596905	2597618	phosphoribosylaminoimidazole-succinocarboxamide synthase
nuoB	2403951	2404613	NADH:quinone oxidoreductase subunit B
insM	4508684	4508942	
der	2635884	2637356	50S ribosomal subunit stability factor
betB	327261	328733	betaine aldehyde dehydrogenase
insE3	566842	567141	DLP12 prophage; IS3 element protein InsE
ruvC	1946855	1947376	crossover junction endodeoxyribonuclease RuvC
lsrD	1604047	1605039	Autoinducer-2 ABC transporter membrane subunit LsrD
ymgC	1216748	1216996	protein YmgC
rbsK	3937294	3938223	ribokinase
ycaQ	969389	970621	interstrand DNA crosslink repair glycosylase
yigB	3997183	3997899	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
wecB	3970133	3971263	UDP-<i>N</i>-acetylglucosamine 2-epimerase
ascF	2839524	2840981	&beta;-glucoside specific PTS enzyme IIBC component
elbB	3349806	3350459	low activity glyoxalase ElbB
nohA	1635798	1636367	Qin prophage; putative prophage DNA-packaging protein NohA
yjfY	4424516	4424791	DUF1471 domain-containing protein YjfY
guaA	2630958	2632535	GMP synthetase
nrfB	4289245	4289811	periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome
yibJ	3767221	3767922	putative RHS domain-containing protein YibJ
rpmJ	3442618	3442734	50S ribosomal subunit protein L36
fabZ	202101	202556	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
yejE	2275273	2276298	putative oligopeptide ABC transporter membrane subunit YejE
glaH	2788985	2789962	glutarate dioxygenase GlaH
dctA	3682161	3683447	C4 dicarboxylate/orotate:H<sup>+</sup> symporter
fimI	4543728	4544267	putative fimbrial protein FimI
ybeZ	692338	693378	PhoH-like protein
yejK	2282940	2283947	nucleoid-associated protein YejK
cho	1823515	1824402	excinuclease Cho
yigL	4010200	4011000	phosphosugar phosphatase YigL
rfe	3967916	3969019	UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase
yehR	2211225	2211686	DUF1307 domain-containing lipoprotein YehR
melR	4340720	4341628	DNA-binding transcriptional dual regulator MelR
htpX	1911695	1912576	protease HtpX
php	3507712	3508590	putative hydrolase
chiX	507204	507287	small regulatory RNA ChiX
yehC	2190926	2191645	putative fimbrial chaperone YehC
racC	1417488	1417763	Rac prophage; protein RacC
yibV	3769345	3769680	PF15596 family protein YibV
nrfA	4287764	4289200	cytochrome <i>c</i><sub>552</sub> nitrite reductase
yfjV	2772167	2773182	CP4-57 prophage; putative arsenite transporter
rpsL	3474178	3474552	30S ribosomal subunit protein S12
acpT	3612969	3613556	holo-[acyl carrier protein] synthase 2
insL1	15445	16557	IS186/IS421 transposase
recO	2701741	2702469	recombination mediator protein RecO
pstA	3908549	3909439	phosphate ABC transporter membrane subunit PstA
ybjO	897989	898477	putative inner membrane protein
mglA	2237769	2239289	D-galactose/methyl-galactoside ABC transporter ATP binding subunit
frmR	379606	379881	DNA-binding transcriptional repressor FrmR
yaiL	376772	377311	DUF2058 domain-containing protein YaiL
cbpA	1062855	1063775	curved DNA-binding protein
wecE	3975146	3976276	dTDP-4-dehydro-6-deoxy-D-glucose transaminase
dcuB	4347404	4348744	anaerobic C4-dicarboxylate transporter DcuB
htrL	3792826	3793683	protein HtrL
iscU	2659903	2660289	scaffold protein for iron-sulfur cluster assembly
yjhP	4532437	4533183	KpLE2 phage-like element; putative methyltransferase YjhP
yfcO	2449228	2450049	DUF2544 domain-containing protein YfcO
narY	1537309	1538853	nitrate reductase Z subunit &beta;
copA	508875	511379	soluble Cu<sup>+</sup> chaperone // Cu<sup>+</sup> exporting P-type ATPase
ymdE	1095544	1095846	putative uncharacterized protein YmdE
rpmD	3444543	3444722	50S ribosomal subunit protein L30
ycjY	1390933	1391853	putative hydrolase YcjY
fabH	1148759	1149712	3-oxoacyl-[acyl carrier protein] synthase 3
sseA	2652494	2653339	3-mercaptopyruvate sulfurtransferase
ddpC	1559014	1559910	putative D,D-dipeptide ABC transporter membrane subunit DdpC
sapD	1352636	1353628	putrescine ABC exporter ATP binding protein SapD
gatA	2174597	2175049	galactitol-specific PTS enzyme IIA component
elfA	997868	998407	putative laminin-binding fimbrial subunit
xylZ	3729386	3729545	small RNA XylZ
tpr	1287087	1287176	protamine-like protein
hda	2618075	2618776	inibitor of reinitiation of DNA replication
wecC	3971260	3972522	UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase
cpxA	4103602	4104975	sensor histidine kinase CpxA
ybhU	813114	813251	
yfeZ	2551277	2551726	putative inner membrane protein
clpB	2731600	2734173	ClpB80 // protein disaggregase ClpB
nanS	4536614	4537594	<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate esterase
yqjF	3250562	3250954	DoxX family protein
sokX	2887353	2887411	small RNA SokX
slyD	3477907	3478497	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD
intZ	2558858	2560066	CPZ-55 prophage; putative phage integrase IntZ
ysgA	4015354	4016169	putative dienelactone hydrolase
hyaD	1035770	1036357	putative hydrogenase 1 maturation protease HyaD
ykgP	313716	313805	putative oxidoreductase
rplK	4178447	4178875	50S ribosomal subunit protein L11
accA	208621	209580	acetyl-CoA carboxyltransferase subunit &alpha;
insEF4	1094275	1095437	IS3 element transposase
ruvA	1945365	1945976	Holliday junction branch migration complex subunit RuvA
mlaE	3338466	3339248	intermembrane phospholipid transport system, integral membrane subunit MlaE
yahC	334525	335022	uncharacterized protein YahC
malI	1698152	1699180	DNA-binding transcriptional repressor MalI
ynhH	1755496	1755690	protein YnhH
macA	919235	920350	ABC-type tripartite efflux pump membrane fusion protein
wecF	3977525	3978604	TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase
rrlE	4210043	4212946	23S ribosomal RNA
kduI	2983288	2984124	5-dehydro-4-deoxy-D-glucuronate isomerase
yceB	1122713	1123273	putative lipid-binding lipoprotein YceB
rrrQ	1639524	1640057	Qin prophage; putative lysozyme
